level,type,Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
5,country,Malta,45.794,76.983,39.542,69.48408,155.82886,129.28717,293.00941,82.00722,277.24862,856.62675,581.55703,235.23211,-418.67691,959.78471,12608.15841,25083.20897,17691.38647,39620.09614,12688.79599,2906.94804,5409.46632,21875.92885,14183.92805,12007.75563,11204.96858,5069.23777,4248.43262,3407.2898,4023.61675,3778.10534,3921.42373,28661.9432,19916.27634,20899.83132
5,country,Netherlands,11063.315,6074.61233,6392.10132,6359.11524,7031.6115,11723.69591,16186.76489,11181.06879,37277.25342,41203.16164,63854.98434,51927.49953,25038.25702,32899.86615,12452.36632,39047.15714,13977.70282,114161.1852,-6776.43095,38751.92229,-7184.47245,24155.80624,25013.04134,51119.46344,45033.94311,176466.3258,59928.129,26854.63336,102134.3526,15939.88868,-81651.41073,-70238.34587,-80438.25767,-168449.6778
5,country,Poland,88,359,678,1715,1875.20904,3658.1745,4498.72037,4910.20922,6398.40018,7270.78402,9445.31496,5579.25516,4030.10725,3982.30598,12140.25032,8203.21772,14577.49558,19836.21948,12283.03901,10039.32449,12796.27013,15925.13965,12423.52313,3625.45956,14268.73649,15270.83168,15690.14756,9172.34007,15996.26992,13510.16767,15195.44113,29234.75569,31469.60871,28685.33592
5,country,Portugal,2363.32264,2186.58287,1637.53429,1440.6707,1250.5106,674.92283,1312.51706,2340.00792,3026.88598,1156.73425,6559.80652,6195.65015,1630.03435,7983.64058,2560.65437,3011.20872,7471.43358,3020.35432,2104.46321,1281.7443,1988.48581,5957.15048,8152.56489,8219.77744,4565.66657,9181.73699,5688.5475,6928.27762,7181.38266,12251.47754,7683.32633,9614.92488,9777.62146,7220.40689
5,country,Romania,0.01,40,77,94,341,419,263,1215,2031,1027.03204,1056.75327,1157.93147,1140.6522,2196.30398,6435.59132,6152.30081,10858.11789,9732.80986,13491.53628,4665.44862,2997.17235,2362.92234,3198.54708,3602.36403,3215.68159,3840.47487,5000.38742,5419.47109,6218.91135,5791.04331,3432.30086,10574.00762,10571.93163,7130.10899
5,country,Slovakia,93,81,100,179.13785,255.17401,2587.14923,369.74329,230.6031,926.76143,626.79744,2720.37866,2274.8396,5864.87883,2975.66798,4028.99182,3109.63786,5803.08628,4017.2452,4868.02358,-6.0791,1769.76074,3491.28594,2981.68815,-604.24777,-512.82112,106.13991,805.90078,4016.77077,1675.08489,2510.63725,-2403.54721,1820.63267,2902.27395,180.26069
5,country,Slovenia,4.3,64.9,111,112.6,116.92985,153.5604,175.47936,334.42844,217.8278,105.68628,137.35766,358.53191,1569.67484,271.18034,675.45647,561.64752,706.27656,757.29157,1218.40993,-475.83431,105.36988,1087.41581,339.33064,-151.22267,1051.23865,1675.07736,1245.94169,897.745,1384.173,1463.04166,219.98707,1845.85225,2039.46193,1102.85563
5,country,Spain,10797.15159,9633.02635,10665.74069,8571.49482,8883.49243,7910.82771,9325.03425,8918.36725,14266.89455,18743.38475,39575.10319,28408.1288,39222.56929,25819.30265,24760.68367,25020.18355,30802.38001,64264.41411,76992.51327,10406.59838,39872.50959,28379.20637,25696.45275,28100.13945,23308.49043,14435.81493,29653.98154,23502.89762,58062.85517,17842.36899,14238.62315,38318.42686,44885.13348,35914.32031
5,country,Sweden,1971.17654,6353.20374,-41.03846,3845.87707,6349.6631,14448.29188,5437.40195,10967.54505,19918.94207,61135.04139,23432.80682,10914.35507,12273.03497,5280.28888,12093.2549,11515.98602,27445.93908,28592.62854,36946.94361,10146.69799,97.12078,12929.46528,16257.07378,3864.61712,5332.03902,5234.95407,19610.27752,15264.02351,5269.12915,8760.8313,20879.53835,22364.07644,44705.83141,29417.83824
4,region,Other Europe,37597.89012,17928.05014,18497.5185,19471.9175,17387.82479,30751.11592,38150.82866,50658.82373,82236.21739,113293.0604,145788.1748,52766.6038,33236.81181,48290.26399,84311.9607,209061.7569,254096.0871,295645.0691,215955.4394,180189.3868,146780.1883,137426.12,144471.8963,120128.1957,70746.21321,119964.7725,390574.3289,251371.3296,14737.59636,33351.52754,4044.16842,-87754.27115,-21047.12841,-42152.15118
