level,type,Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
5,country,Poland,5.357,-7,13,18,29.04572,42.0622,53.03958,45.13172,317.66128,31.00494,17.02688,-210.82276,136.01824,-300.45498,165.86246,1346.73892,3857.45536,1680.18342,1858.5898,1806.36058,6147.18049,1026.44413,2900.99308,-451.20894,2898.10876,4995.54318,11599.98783,2169.48507,891.04434,1854.07781,850.92809,3168.29699,6324.95079,10402.75074
5,country,Portugal,147.59449,413.83002,600.85519,138.34662,282.46588,678.47277,711.77451,2072.80311,4058.27875,3191.34651,8054.99631,6279.83463,-313.49866,6770.96929,4086.54832,2628.35931,4497.68228,7355.90066,695.90423,879.56939,-10065.05893,13618.70139,-8471.77309,770.33526,-3264.51514,4810.76451,879.25286,-929.94647,1374.89013,4010.48132,2525.65945,1468.18605,2686.11503,3556.12594
5,country,Romania,18,3,4,7,0.01,2,0.01,-9,-9,15.98079,-12.89847,15.21239,20.70491,117.37699,154.21579,-39.79506,422.76084,277.83937,276.03472,-96.2571,-50.06457,-26.47094,-114.27815,-280.77562,-373.98536,562.43204,4.61579,-96.59855,379.00403,362.57551,53.0893,141.10094,1297.35558,40.32049
5,country,Slovakia,0,0,0,12.77235,17.69398,-41.39546,56.53477,95.10296,-192.20753,551.93064,40.64308,92.67479,15.61997,339.70818,-28.12017,191.43163,632.3762,672.83525,550.10803,904.40693,946.12507,713.19863,8.36445,-312.98493,42.81283,5.9488,95.55079,1325.3846,321.69462,43.27605,348.10144,297.20601,432.95768,88.95328
5,country,Slovenia,0,0,-1.8,1.3,-12.96577,-10.20248,7.1106,31.41291,-5.49334,47.62275,66.08716,144.28685,151.60416,475.14204,545.75131,628.60891,838.91683,1578.8749,1408.41835,214.01889,-18.08766,198.32489,-258.84563,-213.81919,275.55204,267.3978,289.85888,338.38564,280.86381,609.66599,518.78571,1355.95995,682.95136,540.38007
5,country,Spain,2685.28463,3424.60452,1734.41145,2842.00166,3936.94353,4577.43552,6842.11048,14396.60673,20375.91159,44382.27432,58213.26516,33106.36066,32714.7259,28717.45554,60531.68191,41829.47073,104248.0264,137051.7096,74717.21097,13070.24032,37843.80269,41164.16929,-3981.85776,13854.83764,36464.60218,46700.32176,40910.09719,38214.66093,37944.09829,26195.8566,33539.46175,17259.73218,42900.13732,30334.97686
5,country,Sweden,14746.23242,7054.65062,408.66784,1358.01838,6701.14049,11215.42631,5025.52953,12647.72642,24478.63927,21927.56852,40906.91796,7301.42282,10600.28273,21422.4058,23158.05516,28633.00188,26788.60163,39079.44789,30907.5875,27318.77677,20729.87657,30318.13156,29370.98341,32924.92904,9319.18919,10171.3844,1381.22095,28838.69896,20852.30079,16286.24615,25575.9063,30493.78615,61872.50049,47498.14824
4,region,Other Europe,26718.59204,24427.33145,27615.00273,37826.01556,47526.3613,63786.50949,59622.22158,86947.00333,145406.3221,244858.8822,289183.1887,77225.26167,70893.16432,93333.55666,148940.1114,180993.0688,208066.2139,452165.0473,319167.8495,112732.0963,193393.167,211611.9328,112446.5023,160559.3877,-77495.93698,69069.77818,90098.25904,201457.8923,195576.124,3545.26071,-120140.9055,86036.73805,46979.86866,145108.951
5,country,Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6584,4.10386,10.38712,23.89692,81.1367,39.19883,6.38108,29.77667,23.035,39.81672,33.35857,37.66781,64.20048,26.18588,82.54898,127.83283,87.51511,63.08738,181.05061,264.62956
5,country,Belarus,0,0,0,1.86484,6.02376,0.26,-1.03461,0,2.26918,0.8,0.2,0.3,-206.2,1.5,1.3,2.5,3,15.2,30.6,102.3,50.6,125.5,121.2,245.7,39,122.2,113.8,70,49.7,16,87.9,-71.4924,173.0437,23.0443
5,country,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52365,0.44509,4.10501,28.0126,16.53086,5.53381,45.63363,17.53735,62.30875,44.47643,18.38458,72.67634,38.61798,78.51699,1.79542,34.60664,72.55556,45.8945,50.23425,47.69115
5,country,Iceland,11.56411,28.67976,6.32539,14.33364,23.76173,24.82544,63.62406,54.79216,73.70526,120.61884,389.64128,344.11227,323.77754,376.59206,2565.01837,7072.41945,5472.81277,10108.68785,-4252.94976,2248.7423,-2367.85442,17.65355,-3205.64121,460.26543,-257.01822,-31.25911,-1147.33932,-208.23745,75.96479,478.83162,-426.97732,2.68527,-118.07371,-180.89362
5,country,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0.10164,5.7255,2.58852,4.41849,32.79219,157.33646,107.96353,45.69052,29.2168,17.14592,26.67372,17.32784,27.44942,12.2756,-184.87968,11.42667,108.97434,75.47976,-5.1589,10.98583,52.59851,62.73399
5,country,North Macedonia,0,0,0,0,0,0,0,0.07397,0.0101,0.30287,-0.6028,0.8722,0.1045,0.31489,1.17814,2.8701,0.17189,-1.20061,-13.8758,11.20227,4.77336,-0.29487,-25.56688,30.31219,10.2323,15.46307,23.85456,1.97983,12.24853,39.72033,53.36147,98.15026,95.57681,101.25984
5,country,Norway,1583.2926,1448.72542,-120.20275,718.48134,2171.84927,2856.28145,6104.67595,5289.11132,2542.31223,5832.54372,8221.91724,-1183.87615,5271.06208,3621.92135,3219.18814,17184.78851,15138.31348,8850.89062,22020.74468,20417.98061,19260.21273,18094.0333,20671.07864,9201.02128,20704.0356,31074.74173,3228.21429,-3495.06206,11181.1866,14436.47727,9930.40127,12841.67637,13084.75295,8153.29783
5,country,Republic of Moldova,0,0,0,0,17.8,0.52,0.56,0.45,-0.74,0.06,0.08,0.12,0.45,0.11,-1.6,-0.16,-0.93,17.36,16.08,5.4,2.87,22.52,16.84,22.09,36.62,18.74,9.12,12.94,37.5,43.24,-1.97,32.5,50.29,12.1
5,country,Russian Federation,0,0,1566,1021.942,281.37,605.783,922.824,3183.909,1209.752,2195.12,3151.86,2502.058,3483.838,9550.095,13662.787,16746.644,29839.958,43849.381,56735.403,34449.682,41116.463,48634.931,28422.531,70684.768,64202.54,27089.944,26951.18716,34153.09611,35819.67131,22023.98224,6777.73,64071.57,11509.97,29110.06
5,country,Serbia,0,0,0,0,0,0,0,0,0,0,1.6464,12.34351,19.97835,118.89499,-3.00361,22.20813,87.54984,945.63518,330.74743,23.51831,184.9866,317.52592,331.28802,329.03248,356.37349,346.24843,249.81017,146.60123,362.79085,294.45673,112.2031,264.4027,40.62656,307.52087
5,country,Switzerland,7175.55933,6541.18927,6056.66254,8764.09361,10793.38154,12210.03493,16151.97288,17731.91117,18767.4247,33276.21558,44673.03001,18319.51695,8202.95006,15441.65151,26269.40088,51117.50912,76503.65758,51598.41031,44858.74569,26241.4919,86182.50376,48548.6441,44076.60043,38539.15956,-11528.30493,77186.41238,98210.18625,27957.35205,64954.96326,-46659.00314,-41041.03108,-76161.47912,-74020.31552,104953.6111
5,country,Ukraine,0,0,0,0,8,10,-5,42,-4,7,1,23,-5,13,4,275,-133,673,1010,162,736,192,1206,420,111,-95,100,281,-127,842,22,-198,344,42
5,country,United Kingdom,17948.176,16408.737,20106.21755,27305.30013,34224.175,48078.80467,36384.5993,60644.75571,122815.5887,203426.2212,232744.4166,57206.81489,53802.10215,64203.75136,103204.0719,88560.32204,81100.37591,335885.1636,198185.1807,28964.71362,48091.79531,95587.37529,20699.88484,40485.57046,-151285.9329,-66821.48041,-37605.82207,142373.0341,82961.10106,11717.47857,-95876.92308,84918.12974,95351.66929,2007.36074
3,region,North America,36218.544,38530.09,46238.078,82948.969,82545.506,103535.606,97522.216,118834.5342,165354.1004,226638.4137,187304.172,160901.8231,161718.7423,152276.2354,338251.7587,42907.45646,270433.724,458145.1297,387573.253,327502.0848,312501.7615,448716.9368,374060.3619,360794.1061,393284.6495,331799.3147,353975.6195,403969.4217,-99357.95299,112548.1182,268131.9045,383403.9107,449398.2431,493899.0756
4,country,Canada,5236.544,5834.09,3591.078,5701.969,9293.506,11461.606,13096.216,23065.53423,34350.10044,17247.41373,44678.17199,36028.82306,26772.74233,22924.23539,43346.7587,27538.45646,46213.72404,64627.12969,79277.25296,39601.08477,34722.76151,52147.93675,55864.36186,57362.10612,60270.64947,67440.31467,69506.61954,76188.42165,58049.04701,77492.11821,43666.90452,104877.9107,83012.24305,89583.0756
4,country,United States,30982,32696,42647,77247,73252,92074,84426,95769,131004,209391,142626,124873,134946,129352,294905,15369,224220,393518,308296,287901,277779,396569,318196,303432,333014,264359,284469,327781,-157407,35056,224465,278526,366386,404316
3,region,Other developed economies,54726.55814,35470.71643,23918.67334,16122.07476,25581.31134,31389.52234,33753.64315,35411.29582,32531.38554,28627.39914,43222.47986,51163.70582,43632.03824,51870.9093,50066.79901,19968.81782,99325.42589,119238.4004,186584.5071,109305.6293,112969.8488,148714.9132,163122.5836,169946.0229,182143.2231,161423.6138,202976.8407,214267.2952,197456.1313,285067.5162,145373.8059,286977.1986,356988.7653,237568.246
4,country,Australia,194.37029,417.52352,4591.48827,1409.66707,2187.53427,2532.93107,6174.3853,5804.59855,2547.38257,-14.83919,2864.05037,10454.4232,6579.51928,15023.57466,7390.3291,-35783.17945,20007.22908,11897.21104,30395.57785,16409.4245,19803.51508,1716.41414,7891.89491,1441.34229,18185.25997,-9337.46028,2304.47291,7799.9019,7824.94479,8718.76188,5607.38016,3100.15444,118050.3918,9822.0093
4,country,Israel,261,355,256.218,744.694,673.916,574.154,436.763,750.012,1162.791,829.556,3335.365,687.55,980.98,2109.547,4545.128,2948.633,15462.697,8633.134,7213.517,1776.283,7998.886,7400.746,2275.709,3858.293,4525.503,10968.5,14578.51,7624.335,6086.597,8689.607,4578.849,10369.2,10246.25,9969.505
4,country,Japan,50774.90469,31638.29645,17304.24553,13913.02002,18120.89073,22630.33226,23427.81051,25993.08792,24152.06677,22743.01579,31557.38319,38332.88927,32280.79322,28800.47269,30951.40628,45781.24626,50265.9464,73548.81703,128019.5387,74698.74137,56263.41224,107599.1459,122548.7307,135748.8233,130843.1812,136248.5193,155936.7476,164587.8519,144982.1225,232627.1713,99708.19546,208985.4337,162126.2552,184022.1765
4,country,New Zealand,2363.08316,1468.69646,391.02154,-1388.80633,2008.87034,1783.60501,-1238.61566,-1565.70265,401.4452,1073.76654,609.6813,-1077.45665,331.14574,892.51495,-46.36437,-1339.18199,447.45341,3223.38831,1096.48352,-1000.69962,715.5055,2687.60714,-433.45108,529.76439,471.06095,-58.57822,195.61026,227.368,377.0953,-168.65684,658.2113,-1451.40755,746.26724,-807.52478
4,country,Republic of Korea,1133.2,1591.2,1375.7,1443.5,2590.1,3868.5,4953.3,4411.3,4220.3,3967.2,4842.1,2743.5,3437.2,5018.8,7195.6,8330,12563.1,21831,19536.5,17400.5,28221.6,29647.7,30598.7,28317.8,27998.5,23687.1,29889.5,34069.4,38220.4,35239,34832.4,66000.6,65799,34540.6
4,country,Bermuda,0,0,0,0,0,0,0,18,47.4,28.7,13.9,22.8,22.4,26,30.7,31.3,579,104.85,322.89,21.38,-33.07,-336.7,241,50,119.718,-84.467,72,-41.5616,-35.0283,-38.36713,-11.23,-26.782,20.6011,21.48
2,region,Developing economies,11974.77584,9503.00572,20998.79585,32821.40077,43075.67629,48276.57636,55314.56333,59668.16074,37206.53201,50348.03569,83948.42205,54936.19998,36365.15217,35703.42769,106932.6915,103260.0484,188900.9354,256769.163,256553.2552,230058.2881,336763.9301,356817.4844,326240.5325,392118.7113,427372.8706,388564.5025,388160.8208,452265.2091,376816.3848,398848.6239,383471.319,505827.4629,551567.3268,491261.2519
3,region,Africa,658.27577,1336.07119,2385.00285,575.64808,1912.41518,2975.56706,1817.36463,3556.95972,1618.92695,2603.13237,1548.06978,-2639.46053,367.82184,1376.662,2960.87442,2010.9921,8186.03952,10827.12771,9954.47655,6373.81963,10398.66605,5317.94838,10527.43488,11031.8749,10523.06388,9607.26172,8409.7605,11232.58456,7898.53394,5121.87251,2465.06269,5144.28563,9232.25387,61.35454
4,region,North Africa,135.2228,262.635,-109.892,-429.549,122.05062,132.50154,98.62119,467.89695,324.45362,291.61728,248.41389,299.31442,25.02909,129.73625,724.16808,286.75785,1134.31302,5391.73893,8653.77795,2498.19145,4780.82074,1490.30991,3098.366,392.09343,769.53455,1364.09519,1514.73302,1369.85218,2269.29904,1727.29478,355.71284,993.87093,1170.94353,1185.33866
5,country,Algeria,4.6888,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1,7.6,13.7,9.3,98.57,28.32063,245.44981,-20.19343,33.97313,150.62711,317.98271,214.81377,220.49396,533.51048,-41.30133,-268.41076,-18.29724,103.20471,46.85667,-17.5446,854.17693,30.98985,14.67022,-51.5397,85.07621,83.51073
5,country,Egypt,12,62,4,25,62.3,34.2,4.9,165.9,45.5,37.5,51.2,12.4,27.8,20.7,158.9,92,148.4,664.8,1920.2,571.1,1175.5,625.5,211.1,301,252.7,181.7,206.6,199,323.5,405,326.5,367,341.8,390.4
5,country,Libya,105.234,173.834,-150.593,-479.35,28.04962,82.90054,63.32019,284,255.788,225.954,98,175,-136,63,286,128,474,3947,5888.2,1165,2722,131,2509,6,77,394.799,440,110,275.5378,376.5,-487.2,-55.35,50,-164.18333
5,country,Morocco,13,23,32,23,24,12,28,8.79595,20.36562,18.06328,58.51999,97.05388,28.32877,12.28278,29.80372,74.61921,444.88254,609.02088,485.19224,470.25605,588.77341,178.98928,406.12208,331.96122,436.33734,653.29489,579.65961,1020.94511,782.08185,892.99492,458.36265,644.49133,640.90325,836.01262
5,country,Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.2,0,0
5,country,Tunisia,0.3,3.8,4.7,1.8,7.7,3.4,2.4,9.2,1.8,2.5,26.9939,5.56054,6.33032,5.43284,4.01455,12.33207,33.05735,20.29094,42.203,77.02163,74.05337,21.31015,13.44525,21.54297,21.79445,31.09659,241.61674,57.45167,34.00246,21.81001,43.37997,35.0693,53.16407,39.59864
4,region,Other Africa,523.05297,1073.43619,2494.89485,1005.19708,1790.36456,2843.06552,1718.74344,3089.06277,1294.47333,2311.51509,1299.65589,-2938.77495,342.79275,1246.92575,2236.70634,1724.23425,7051.7265,5435.38878,1300.6986,3875.62818,5617.84531,3827.63847,7429.06888,10639.78147,9753.52933,8243.16653,6895.02748,9862.73238,5629.2349,3394.57773,2109.34985,4150.4147,8061.31034,-1123.98412
5,region,Central Africa,51.54022,51.74657,79.58597,42.9759,14.19799,34.8612,22.57567,31.73811,0.39585,17.25734,37.05181,46.4968,-49.24631,-28.13416,-12.81173,80.28343,-25.15632,139.13058,-54.02244,166.95204,346.363,-230.08643,356.06522,25.3811,173.70794,404.54523,366.19934,261.78777,79.3726,421.84432,278.91604,498.36649,490.08737,150.60326
